Depth,Delta-T,Resist.,SP,GR
10381,61.5,8,106.7,27
10382,61.7,8.8,106.5,27
10383,62.3,10,105.9,30
10384,61.9,10.1,105.1,34
10385,62.3,9.2,102.7,38
10386,63.2,8.6,87.6,38
10387,63.5,8.5,78.8,40
10388,63.5,9.4,76.5,38
10389,62.7,11.4,76.5,33
10390,60,14.8,76.5,27
10391,57,19,76.5,27
10392,54,40,76.5,27
10393,49.1,89,76.5,23
10394,47.2,134,75.5,22
10395,46.7,220,74.1,25
10396,47.1,193,72.1,31
10397,47.6,122,70.5,33
10398,48.8,96,68.9,35
10399,49.8,81,67.5,5
10400,50.8,75,66.7,0
10401,51.1,75,65.7,0
10402,50.2,97,65.1,0
10403,49,167,64.1,0
10404,48.4,315,63.3,0
10405,50.6,1693,63.1,0
10406,50.7,1874,62.7,0
10407,50.4,1874,62.5,0
10408,49.9,1874,62.5,0
10409,49.7,591,62.5,0
10410,49.6,208,62.5,0
10411,51.5,134,62.5,0
10412,52.5,116,62.9,0
10413,53.2,113,64.3,0
10414,54.1,156,65.9,0
